permutation,ap_increment,auc_increment,log_loss_improvement,null_plus_ap,null_plus_auc,null_plus_log_loss
63,3.88364998495927e-05,-1.2104778966626206e-05,-3.3110055483204226e-05,0.5502786719677408,0.8984097778945985,0.14319490254169923
64,-0.00954500921606316,-0.00014352809346274142,-0.000831044736758102,0.5406948262518281,0.8982783545801024,0.14399283722297412
65,0.00650011420505181,0.00012277704380536658,0.0006425725329975984,0.556739949672943,0.8985446597173705,0.14251921995321842
66,-0.029617727429474217,-0.0009770285880295049,-0.002521911597374915,0.520622108038417,0.8974448540855356,0.14568370408359094
67,0.0013965162467087788,0.000537798036950643,0.0004845769126519961,0.5516363517146,0.8989596807105158,0.14267721557356403
68,-0.0023763161624734686,-0.00017465466794863715,-0.0006497817580286558,0.5478635193054178,0.8982472280056165,0.14381157424424468
69,-0.005587315923124225,-0.0008456052735333897,-0.0005965712297539005,0.544652519544767,0.8975762774000318,0.14375836371596992
70,-0.0008036904601376182,-0.00020232273415832225,5.531058847771386e-05,0.5494361450077536,0.8982195599394068,0.1431064818977383
71,-0.0015528969166110906,-0.0001988642258820006,-0.00012327926553862278,0.5486869385512801,0.8982230184476832,0.14328507175175464
72,-0.006062652082413855,-0.003629704435882841,-0.0016047601354098051,0.5441771833854774,0.8947921782376823,0.14476655262162583
73,-0.0002885261516778481,0.0008594393066383432,0.0003037004533099352,0.5499513093162134,0.8992813219802035,0.1428580920329061
74,0.0013052266420244818,-0.00016427914312000524,-0.0001137040238374798,0.5515450621099157,0.8982576035304451,0.1432754965100535
75,-0.0034496284050400394,-0.0013194209073741359,-0.00059020667501683,0.5467902070628512,0.897102461766191,0.14375199916123285
76,-0.026790260767433405,-0.0009597360466481186,-0.0018924807043733671,0.5234495747004578,0.897462146626917,0.1450542731905894
77,-0.0011858872010809263,-7.089941966231805e-05,-0.0001092399723433557,0.5490539482668103,0.8983509832539028,0.14327103245855938
78,-0.010808952218728352,-0.000613885219027277,-0.0006785198717673413,0.5394308832491629,0.8978079974545379,0.14384031235798336
79,0.0006025843731591873,-0.00020923975071085454,0.0001360401379612297,0.5508424198410504,0.8982126429228543,0.1430257523482548
80,-0.0034421827506695424,-0.00026111737485390307,-0.0002964594621596983,0.5467976527172217,0.8981607652987113,0.14345825194837572
81,-0.0063359063929069315,-0.005085736420167186,-0.00218457345644002,0.5439039290749843,0.893336146253398,0.14534636594265604
82,-0.016583073545073157,-0.006597104536871123,-0.0033567349627383614,0.5336567619228181,0.891824778136694,0.14651852744895438
83,0.000819116037613199,-0.0014819707963562578,-0.00031302845440367433,0.5510589515055044,0.8969399118772089,0.1434748209406197
84,-0.004097893847990419,-0.0006830553845514897,-0.0005778823754407914,0.5461419416199008,0.8977388272890137,0.1437396748616568
85,-0.01758342427320292,-0.0007003479259325429,-0.0014245804693565622,0.5326564111946883,0.8977215347476326,0.14458637295557258
86,-0.005892694005806165,-0.005341666032606773,-0.002656821461970049,0.5443471414620851,0.8930802166409584,0.14581861394818607
87,-0.009167592789947054,-0.0007003479259325429,-0.0005170935565992907,0.5410722426779442,0.8977215347476326,0.1436788860428153
88,-0.0026901558487358868,-0.0007556840583518021,-0.000479029589508434,0.5475496796191553,0.8976661986152134,0.14364082207572446
89,-0.011124316321743821,-0.0015511409618803595,-0.001440804397334683,0.5391155191461474,0.8968707417116848,0.1446025968835507
90,-0.006596557355713073,-0.005096111944995818,-0.003484067574118288,0.5436432781121782,0.8933257707285693,0.1466458600603343
91,0.0011489193159230915,0.0007210989755898067,0.00026919864902827384,0.5513887547838143,0.899142981649155,0.14289259383718775
92,0.0004719726828457116,0.00048592041280759446,0.0004556542855591039,0.550711808150737,0.8989078030863727,0.14270613820065692
93,-0.0009459292326712276,-0.0003510385900352686,-0.00021005026945050687,0.54929390623522,0.8980708440835299,0.14337184275566653
94,0.0031757787513804203,0.00017119615967242652,-0.0010432402997950507,0.5534156142192717,0.8985930788332376,0.14420503278601107
95,-0.01696204289963299,-0.003021006979269547,-0.001852481440251602,0.5332777925682582,0.8954008756942956,0.14501427392646762
96,-0.0015303105245570991,-0.0002853269327872665,-0.0002987827484615402,0.5487095249433341,0.8981365557407779,0.14346057523467756
97,0.0030990333281741833,0.0015061803542897323,0.0007670995581103568,0.5533388687960654,0.8999280630278549,0.14239469292810567
98,-0.005458310380358156,-0.0010358232287249747,-0.0007864342998686602,0.5447815250875331,0.8973860594448402,0.14394822678608468
99,6.322519681667416e-05,-0.00025074185002516014,-0.0001985102202153033,0.5503030606647079,0.89817114082354,0.14336030270643133
100,0.00044925060551204155,-0.00028186842451105587,-1.591514605203681e-05,0.5506890860734033,0.8981400142490541,0.14317770763226806
101,0.0015298628279953874,0.00013661107691032015,0.00016364945683111642,0.5517696982958866,0.8985584937504755,0.1429981430293849
102,0.0017630231762159054,0.00042020875555959236,0.00018628270411238934,0.5520028586441071,0.8988420914291247,0.14297550978210363
103,-0.008470064141863576,0.0001608206348437946,-0.0005774954152522049,0.5417697713260277,0.898582703308409,0.14373928790146823
104,-0.003326831549741893,-0.000766059583180545,-0.0004607355120327672,0.5469130039181493,0.8976558230903846,0.1436225279982488
105,-0.0025518208224412087,-0.0012675432832309763,-0.0005969828479999439,0.54768801464545,0.8971543393903342,0.14375877533421597
106,0.0017806721990619723,-0.0001884887010534797,8.519038195264894e-05,0.5520205076669532,0.8982333939725117,0.14307660210426337
107,-0.0008952347390874804,-0.0013643815149650962,-0.0005240918885944523,0.5493446007288038,0.8970575011586001,0.14368588437481047
108,-0.004983259284745523,-0.0013920495811746703,-0.0007620953868128777,0.5452565761831457,0.8970298330923905,0.1439238878730289
109,0.00109234972568506,0.00043058428038822427,0.0003305214428694636,0.5513321851935763,0.8988524669539534,0.14283127104334656
110,-0.0011295011572486358,-4.323135345263296e-05,4.109283997286162e-05,0.5491103343106426,0.8983786513201125,0.14312069964624316
111,0.0017230115428958914,-0.0018209046074246782,-0.00027621735727767494,0.5519628470107871,0.8966009780661405,0.1434380098434937
112,-0.007845959040523542,-0.004411327306306334,-0.002202578247340742,0.5423938764273677,0.8940105553672588,0.14536437073355676
113,-0.00023699411335220688,-0.0003752481479689651,-0.0002454758139170954,0.550002841354539,0.8980466345255962,0.14340726830013312
